Mine,Latitude,Longitude,Blue_B02,Green_B03,Red_B04,NIR_B08,SWIR1_B11,SWIR2_B12,NDVI,Distance_to_Manganese_km,Manganese_Presence,Lithology,GLiM_ID,Elevation_mean_m,Elevation_min_m,Elevation_max_m,Slope_mean_degrees,Slope_min_degrees,Slope_max_degrees,LST_mean_C,LST_min_C,LST_max_C
Ukwa,21.959751061340675,80.4606350378912,0.1968,0.2354,0.276,0.3785,0.4837,0.4037,0.15660813,0.0451337597140205,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Chikla,21.52685815439017,79.7338500961509,0.153,0.1735,0.1728,0.3873,0.3565,0.2505,0.38296732,4.283031985774144,0,Metamorphics,IND2480,324.12485,288.91412,468.7117,3.8145928,0.0,36.321957,32.102837,29.184732,33.749233
Kandri,21.433093716683867,79.2524735539064,0.1549,0.1646,0.1644,0.3515,0.3663,0.2726,0.3626672,3.822534128150073,0,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Kandri,21.399203441863023,79.25924210834697,0.182,0.2126,0.2284,0.4349,0.3858,0.3091,0.31132215,0.1206499648433838,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Gumgaon,21.37285803777544,78.98725531876929,0.1644,0.1864,0.2202,0.3364,0.3789,0.2903,0.20876753,2.986722058959696,0,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Munsar,21.398177704425663,79.26484806963376,0.1582,0.1744,0.152,0.4184,0.275,0.1856,0.46704063,0.4876927311103932,1,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Gumgaon,21.41767971191593,78.98953504959859,0.163,0.1904,0.2288,0.2684,0.2957,0.2764,0.07964604,2.109640726666974,0,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Ukwa,21.95236386453676,80.46705463250231,0.2046,0.2362,0.2862,0.4009,0.497,0.4147,0.16693352,0.3229441605166643,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Tirodi,21.707344956035257,79.7104312064718,0.1436,0.153,0.1453,0.2696,0.2749,0.1975,0.29959026,4.946847762815003,0,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Munsar,21.413927584366863,79.30343753187506,0.1711,0.2076,0.225,0.4042,0.3215,0.2313,0.2848061,2.438972517855749,0,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Balaghat,21.87343911500976,80.20659797987744,0.2138,0.2562,0.2966,0.4005,0.4933,0.4235,0.14904602,0.242600282563596,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Ukwa,21.9492959918109,80.46822817416607,0.213,0.2522,0.3258,0.4191,0.5614,0.4635,0.1252517,0.1279737104143592,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Ukwa,21.96229584179495,80.46527428087191,0.183,0.2204,0.2704,0.3579,0.4826,0.4144,0.1392647,0.4619911550020593,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Chikla,21.54590970691266,79.76883211522103,0.1443,0.1688,0.1384,0.4668,0.2712,0.1776,0.54263055,7.093919204583294,0,Metamorphics,IND2480,324.12485,288.91412,468.7117,3.8145928,0.0,36.321957,32.102837,29.184732,33.749233
Kandri,21.43094555777967,79.2893495194185,0.1451,0.1687,0.144,0.4921,0.3041,0.1975,0.54724103,2.5587312068788566,0,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Beldongri,21.324725779048435,79.3071641718669,0.1647,0.2016,0.2064,0.4588,0.2995,0.2143,0.37943473,2.844559052849441,0,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Tirodi,21.683595228143403,79.7467894940893,0.1552,0.1753,0.1822,0.3267,0.3416,0.2515,0.28394577,0.3788993884161498,1,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Tirodi,21.68470540575493,79.75025931291094,0.16,0.1773,0.1952,0.298,0.4038,0.3123,0.20843473,0.2143003117260168,1,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Tirodi,21.681073357203,79.74777778264536,0.1485,0.1641,0.1687,0.2723,0.3458,0.2566,0.23492067,0.3265769243742324,1,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Ukwa,21.96573451019019,80.4670047727279,0.2016,0.233,0.2856,0.3813,0.494,0.4162,0.14349976,0.0439792144897309,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Dongri_Buzurg,21.55346807068029,79.67085396257585,0.1813,0.2058,0.2266,0.3496,0.3378,0.2551,0.21346751,3.0822559944690013,0,Metamorphics,IND2480,334.0665,270.8272,418.0179,3.693927,0.0,42.639668,32.160763,30.868849,32.82424
Balaghat,21.872880508982373,80.24144444901395,0.1509,0.1758,0.1838,0.3291,0.3298,0.2543,0.28329113,2.603784031387687,0,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Tirodi,21.681645909992856,79.75183207464181,0.1485,0.1645,0.1692,0.2797,0.3622,0.272,0.24615729,0.1983786739792265,1,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Balaghat,21.83945876951795,80.20407622033616,0.1582,0.1658,0.1636,0.2888,0.1886,0.1696,0.27674624,3.143034103520726,0,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Munsar,21.38108113464144,79.30651669220369,0.1615,0.1792,0.1896,0.2979,0.2848,0.2278,0.22215381,3.5679721767424764,0,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Kandri,21.398103688999864,79.25771201087942,0.153,0.1807,0.1686,0.4059,0.3507,0.2421,0.41305488,0.315608217145643,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Beldongri,21.34666476462983,79.29727108097201,0.1726,0.217,0.2158,0.4168,0.3143,0.2291,0.3177363,0.4499254440733156,1,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Tirodi,21.68232480190393,79.74602728907739,0.1672,0.1726,0.1846,0.2388,0.2865,0.2356,0.12801136,0.4495130220796639,1,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Beldongri,21.31546393266001,79.28452182618356,0.1672,0.2004,0.2184,0.4012,0.2986,0.2117,0.29502904,4.1258957815711454,0,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Sitapatore,21.64777394087995,79.64834869351293,0.1481,0.1562,0.1568,0.2738,0.2906,0.2131,0.27171385,11.236534530395842,0,Metamorphics,IND2497,330.57553,308.20984,387.75015,3.0461476,0.0,33.174393,31.900742,31.206608,32.967358
Sitapatore,21.677504011767024,79.68344315128617,0.1568,0.1642,0.1708,0.2462,0.2953,0.229,0.18081534,6.938269543513295,0,Metamorphics,IND2497,330.57553,308.20984,387.75015,3.0461476,0.0,33.174393,31.900742,31.206608,32.967358
Tirodi,21.68925269380288,79.73050280221021,0.1461,0.1504,0.1466,0.2236,0.2258,0.1775,0.20799571,2.1733429003576146,0,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Balaghat,21.847411063156287,80.2429337286935,0.1502,0.1786,0.1658,0.3297,0.2839,0.2147,0.33077696,0.2480000645155632,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Kandri,21.40862624529708,79.27957838249958,0.2312,0.2372,0.2454,0.3625,0.3207,0.2264,0.19263038,0.1272949749779438,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Tirodi,21.6832659878464,79.7510449239345,0.162,0.1804,0.2072,0.2998,0.4124,0.3245,0.182643,0.0898672806093914,1,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Munsar,21.38317840031042,79.29954910636617,0.164,0.1872,0.1836,0.3643,0.3617,0.2546,0.32980472,3.53831912479807,0,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Sitapatore,21.66846381577306,79.68255885816819,0.1449,0.1538,0.1488,0.3205,0.2758,0.1944,0.36586404,7.183616368405143,0,Metamorphics,IND2497,330.57553,308.20984,387.75015,3.0461476,0.0,33.174393,31.900742,31.206608,32.967358
Gumgaon,21.42201119080079,78.95938364774513,0.1514,0.1674,0.1928,0.3204,0.3623,0.2769,0.24863602,3.5469762142618992,0,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Dongri_Buzurg,21.57088591763356,79.68015931434738,0.1564,0.1857,0.1975,0.3658,0.3188,0.2353,0.29877505,3.164604792571017,0,Metamorphics,IND2480,334.0665,270.8272,418.0179,3.693927,0.0,42.639668,32.160763,30.868849,32.82424
Sitapatore,21.683866891600324,79.66579542452035,0.1548,0.1664,0.1856,0.2624,0.4116,0.3269,0.17142858,8.737588666763378,0,Metamorphics,IND2497,330.57553,308.20984,387.75015,3.0461476,0.0,33.174393,31.900742,31.206608,32.967358
Gumgaon,21.4163541316933,78.95464003032326,0.173,0.1952,0.2308,0.3214,0.36,0.2937,0.16407098,3.5411464061858315,0,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Gumgaon,21.4116120845793,78.96570039949368,0.1479,0.1669,0.1814,0.3262,0.3168,0.2472,0.285264,2.295994868393283,0,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Ukwa,21.949462830517767,80.46396649119448,0.1525,0.1749,0.2208,0.3387,0.385,0.2999,0.21072386,0.3128606109366001,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Dongri_Buzurg,21.56468235944687,79.67248998486659,0.1666,0.1897,0.2094,0.3341,0.324,0.2413,0.22943884,3.339362387018717,0,Metamorphics,IND2480,334.0665,270.8272,418.0179,3.693927,0.0,42.639668,32.160763,30.868849,32.82424
Beldongri,21.315928946224144,79.27699785391906,0.1614,0.1959,0.2042,0.4242,0.2741,0.1955,0.3500955,4.112516537942626,0,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Ukwa,21.965259630141944,80.48812053395024,0.1606,0.1822,0.2238,0.3438,0.4206,0.3316,0.2114165,0.4700550108839456,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Ukwa,21.963612806140286,80.48154048883578,0.149,0.1706,0.2104,0.3891,0.4394,0.3315,0.2980817,0.3551297846610648,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Munsar,21.396897379442645,79.26332006974653,0.2022,0.2158,0.2356,0.2913,0.3643,0.3307,0.10571267,0.4222692970196623,1,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Gumgaon,21.40204444912048,78.98106971803082,0.1535,0.1805,0.1922,0.333,0.3378,0.2656,0.26808834,0.3897322387941022,1,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Ukwa,21.962531141893987,80.48231922427455,0.143,0.1623,0.2036,0.303,0.4393,0.3404,0.19621001,0.4233879903625567,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Beldongri,21.334124450515773,79.2721580353295,0.1456,0.1516,0.1437,0.1636,0.1424,0.1187,0.06475755,2.102358063369672,0,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Beldongri,21.35212648238123,79.30145030233881,0.1556,0.178,0.1745,0.4441,0.2913,0.2005,0.43582278,0.312082906343129,1,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Chikla,21.531155271536345,79.7770666666798,0.1388,0.1578,0.1366,0.4087,0.2469,0.1642,0.4989913,8.192732315259006,0,Metamorphics,IND2480,324.12485,288.91412,468.7117,3.8145928,0.0,36.321957,32.102837,29.184732,33.749233
Ukwa,21.964695690819088,80.48114914833477,0.144,0.1673,0.1984,0.3618,0.4161,0.3149,0.29168153,0.304104752067114,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Munsar,21.411145052528067,79.27858434777235,0.1641,0.18,0.188,0.3326,0.3736,0.2692,0.27775645,0.2585415809516254,1,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Kandri,21.4013388114342,79.25613051805641,0.1492,0.1696,0.1553,0.4201,0.3056,0.2085,0.46020162,0.4827882134571846,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
