Date,Year,Month,Mine,Latitude,Longitude,Planned_Production_Tonnes,Actual_Production_Tonnes,Production_Shortfall_Tonnes,Shortfall_Percentage,Operational_Efficiency,Equipment_Availability,Weather_Impact,Shortfall_Risk,Reference_Basis
2020-01-01,2020,1,Balaghat,21.84995,80.22672,14583.94,12661.6,1922.34,13.18,0.99,0.933,0.94,Medium,MOIL official/public historical production trends
2020-01-01,2020,1,Beldongri,21.45,79.85,6239.27,3885.28,2354.0,37.73,0.831,0.765,0.98,High,MOIL official/public historical production trends
2020-01-01,2020,1,Chikla,21.65,79.7,8391.7,5940.04,2451.66,29.22,0.942,0.755,0.995,High,MOIL official/public historical production trends
2020-01-01,2020,1,Dongri Buzurg,21.95,80.15,11445.17,6730.45,4714.72,41.19,0.842,0.795,0.878,High,MOIL official/public historical production trends
2020-01-01,2020,1,Gumgaon,21.3,79.1,7240.06,5023.79,2216.26,30.61,0.905,0.858,0.894,High,MOIL official/public historical production trends
2020-01-01,2020,1,Kandri,21.35,79.05,7467.21,4604.49,2862.73,38.34,0.828,0.823,0.905,High,MOIL official/public historical production trends
2020-01-01,2020,1,Munsar,21.4,79.2,6433.15,4566.05,1867.1,29.02,0.957,0.8,0.927,High,MOIL official/public historical production trends
2020-01-01,2020,1,Sitapatore,21.5,79.3,7452.86,4762.93,2689.93,36.09,0.809,0.902,0.876,High,MOIL official/public historical production trends
2020-01-01,2020,1,Tirodi,21.7,80.0,10595.13,10097.91,497.22,4.69,0.99,0.991,0.971,Low,MOIL official/public historical production trends
2020-01-01,2020,1,Ukwa,21.8,80.1,11765.54,8135.28,3630.26,30.86,0.82,0.921,0.916,High,MOIL official/public historical production trends
2020-02-01,2020,2,Balaghat,21.84995,80.22672,14211.01,9560.16,4650.85,32.73,0.899,0.759,0.986,High,MOIL official/public historical production trends
2020-02-01,2020,2,Beldongri,21.45,79.85,6305.67,4517.81,1787.87,28.35,0.933,0.828,0.928,High,MOIL official/public historical production trends
2020-02-01,2020,2,Chikla,21.65,79.7,8346.5,6698.82,1647.68,19.74,0.837,0.992,0.966,Medium,MOIL official/public historical production trends
2020-02-01,2020,2,Dongri Buzurg,21.95,80.15,11563.75,10063.19,1500.56,12.98,0.979,0.899,0.988,Medium,MOIL official/public historical production trends
2020-02-01,2020,2,Gumgaon,21.3,79.1,7080.73,4065.97,3014.76,42.58,0.839,0.761,0.899,High,MOIL official/public historical production trends
2020-02-01,2020,2,Kandri,21.35,79.05,7302.41,5395.0,1907.41,26.12,0.854,0.957,0.904,High,MOIL official/public historical production trends
2020-02-01,2020,2,Munsar,21.4,79.2,6319.99,4374.99,1945.0,30.78,0.909,0.785,0.97,High,MOIL official/public historical production trends
2020-02-01,2020,2,Sitapatore,21.5,79.3,7070.44,5851.04,1219.39,17.25,0.997,0.943,0.88,Medium,MOIL official/public historical production trends
2020-02-01,2020,2,Tirodi,21.7,80.0,10529.19,9015.43,1513.76,14.38,0.963,0.927,0.959,Medium,MOIL official/public historical production trends
2020-02-01,2020,2,Ukwa,21.8,80.1,12325.52,7313.95,5011.58,40.66,0.815,0.84,0.867,High,MOIL official/public historical production trends
2020-03-01,2020,3,Balaghat,21.84995,80.22672,17346.24,11480.26,5865.99,33.82,0.925,0.833,0.86,High,MOIL official/public historical production trends
2020-03-01,2020,3,Beldongri,21.45,79.85,7184.66,5479.82,1704.84,23.73,0.865,0.932,0.946,Medium,MOIL official/public historical production trends
2020-03-01,2020,3,Chikla,21.65,79.7,9779.96,6528.81,3251.15,33.24,0.894,0.78,0.957,High,MOIL official/public historical production trends
2020-03-01,2020,3,Dongri Buzurg,21.95,80.15,12881.23,10236.96,2644.27,20.53,0.912,0.943,0.924,Medium,MOIL official/public historical production trends
2020-03-01,2020,3,Gumgaon,21.3,79.1,8388.26,4866.31,3521.95,41.99,0.886,0.756,0.866,High,MOIL official/public historical production trends
2020-03-01,2020,3,Kandri,21.35,79.05,7977.07,5677.27,2299.8,28.83,0.927,0.829,0.926,High,MOIL official/public historical production trends
2020-03-01,2020,3,Munsar,21.4,79.2,7621.54,5319.97,2301.58,30.2,0.85,0.853,0.963,High,MOIL official/public historical production trends
2020-03-01,2020,3,Sitapatore,21.5,79.3,8142.26,4773.3,3368.95,41.38,0.815,0.822,0.874,High,MOIL official/public historical production trends
2020-03-01,2020,3,Tirodi,21.7,80.0,13093.28,11216.37,1876.92,14.33,0.962,0.908,0.981,Medium,MOIL official/public historical production trends
2020-03-01,2020,3,Ukwa,21.8,80.1,14012.99,10629.14,3383.85,24.15,0.837,0.973,0.931,Medium,MOIL official/public historical production trends
2020-04-01,2020,4,Balaghat,21.84995,80.22672,16238.18,11428.95,4809.24,29.62,0.979,0.83,0.867,High,MOIL official/public historical production trends
2020-04-01,2020,4,Beldongri,21.45,79.85,6704.79,5548.1,1156.69,17.25,0.885,0.955,0.979,Medium,MOIL official/public historical production trends
2020-04-01,2020,4,Chikla,21.65,79.7,8424.62,5735.65,2688.98,31.92,0.902,0.854,0.883,High,MOIL official/public historical production trends
2020-04-01,2020,4,Dongri Buzurg,21.95,80.15,11366.24,8733.0,2633.24,23.17,0.868,0.986,0.898,Medium,MOIL official/public historical production trends
2020-04-01,2020,4,Gumgaon,21.3,79.1,7891.72,6215.62,1676.1,21.24,0.941,0.841,0.996,Medium,MOIL official/public historical production trends
2020-04-01,2020,4,Kandri,21.35,79.05,8241.19,5484.59,2756.6,33.45,0.85,0.874,0.895,High,MOIL official/public historical production trends
2020-04-01,2020,4,Munsar,21.4,79.2,6744.01,4546.95,2197.06,32.58,0.807,0.902,0.925,High,MOIL official/public historical production trends
2020-04-01,2020,4,Sitapatore,21.5,79.3,7523.63,5573.0,1950.62,25.93,0.856,0.977,0.886,High,MOIL official/public historical production trends
2020-04-01,2020,4,Tirodi,21.7,80.0,11395.81,9036.34,2359.47,20.7,0.898,0.996,0.886,Medium,MOIL official/public historical production trends
2020-04-01,2020,4,Ukwa,21.8,80.1,13020.33,9627.18,3393.16,26.06,0.952,0.809,0.959,High,MOIL official/public historical production trends
2020-05-01,2020,5,Balaghat,21.84995,80.22672,16517.15,12932.57,3584.58,21.7,0.926,0.908,0.93,Medium,MOIL official/public historical production trends
