Mine,Latitude,Longitude,Date,Temperature_C,Wind_Speed_m_s,Relative_Humidity_percent,Precipitation_mm,Soil_Moisture_0_7cm,Soil_Moisture_7_28cm,Soil_Moisture_28_100cm,Soil_Moisture_0_100cm
Balaghat,21.84995,80.22672,2025-01-01,15.58,2.23,52.14,0.0,0.304,0.351,0.437,0.41
Balaghat,21.84995,80.22672,2025-01-02,15.64,2.34,47.84,0.0,0.296,0.353,0.435,0.408
Balaghat,21.84995,80.22672,2025-01-03,16.44,2.29,49.56,0.0,0.281,0.347,0.433,0.405
Balaghat,21.84995,80.22672,2025-01-04,16.54,1.81,54.88,0.0,0.266,0.336,0.431,0.399
Balaghat,21.84995,80.22672,2025-01-05,17.81,1.22,50.06,0.0,0.249,0.326,0.427,0.393
Balaghat,21.84995,80.22672,2025-01-06,18.61,1.11,51.73,0.0,0.242,0.319,0.425,0.39
Balaghat,21.84995,80.22672,2025-01-07,16.12,2.41,57.66,0.0,0.242,0.319,0.423,0.389
Balaghat,21.84995,80.22672,2025-01-08,13.55,1.59,54.87,0.0,0.23,0.309,0.421,0.384
Balaghat,21.84995,80.22672,2025-01-09,15.65,1.29,46.2,0.0,0.219,0.304,0.419,0.381
Balaghat,21.84995,80.22672,2025-01-10,16.48,1.49,46.93,0.0,0.228,0.305,0.417,0.381
Balaghat,21.84995,80.22672,2025-01-11,17.6,1.75,54.49,0.0,0.242,0.308,0.415,0.38
Balaghat,21.84995,80.22672,2025-01-12,18.88,2.0,62.76,0.05,0.256,0.314,0.41,0.379
Balaghat,21.84995,80.22672,2025-01-13,18.02,1.96,69.26,0.02,0.258,0.319,0.409,0.38
Balaghat,21.84995,80.22672,2025-01-14,17.64,1.16,60.47,0.0,0.259,0.325,0.408,0.38
Balaghat,21.84995,80.22672,2025-01-15,18.79,1.27,58.17,0.0,0.267,0.328,0.406,0.38
Balaghat,21.84995,80.22672,2025-01-16,19.18,1.33,60.78,0.0,0.28,0.33,0.405,0.381
Balaghat,21.84995,80.22672,2025-01-17,19.21,2.2,58.87,0.0,0.279,0.331,0.404,0.38
Balaghat,21.84995,80.22672,2025-01-18,18.7,1.65,59.86,0.0,0.277,0.333,0.403,0.379
Balaghat,21.84995,80.22672,2025-01-19,18.96,1.83,46.94,0.0,0.268,0.331,0.402,0.377
