,Tunnel,PegStart,PegEnd,PenetrNormMean,PenetrNormMedian,PenetrNormVariance,PenetrNormStandardDeviation,PenetrNormSkewness,PenetrNormKurtosis,PenetrRMSMean,PenetrRMSMedian,PenetrRMSVariance,PenetrRMSStandardDeviation,PenetrRMSSkewness,PenetrRMSKurtosis,RotaPressNormMean,RotaPressNormMedian,RotaPressNormVariance,RotaPressNormStandardDeviation,RotaPressNormSkewness,RotaPressNormKurtosis,RotaPressRMSMean,RotaPressRMSMedian,RotaPressRMSVariance,RotaPressRMSStandardDeviation,RotaPressRMSSkewness,RotaPressRMSKurtosis,FeedPressNormMean,FeedPressNormMedian,FeedPressNormVariance,FeedPressNormStandardDeviation,FeedPressNormSkewness,FeedPressNormKurtosis,HammerPressNormMean,HammerPressNormMedian,HammerPressNormVariance,HammerPressNormStandardDeviation,HammerPressNormSkewness,HammerPressNormKurtosis,WaterFlowNormMean,WaterFlowNormMedian,WaterFlowNormVariance,WaterFlowNormStandardDeviation,WaterFlowNormSkewness,WaterFlowNormKurtosis,WaterFlowRMSMean,WaterFlowRMSMedian,WaterFlowRMSVariance,WaterFlowRMSStandardDeviation,WaterFlowRMSSkewness,WaterFlowRMSKurtosis,Rock,transition_zone,round_length
1363,gran_west,8215.0,8216.0,18.758,18.136,285.071,16.884,0.359,-0.148,5.95,4.658,29.71,5.451,1.306,1.909,9.218,10.214,74.201,8.614,-0.341,0.263,2.855,2.071,8.693,2.948,2.223,9.518,-34.924,-35.863,146.07,12.086,1.123,2.837,-6.424,-1.021,85.785,9.262,-1.454,1.159,13.189,12.759,39.356,6.273,-0.084,-0.726,0.793,0.532,1.258,1.121,4.06,21.734,Elnes_lime_shale,False,1.0
2189,drammen,57396.0,57402.0,2.372,2.941,141.886,11.912,-0.142,3.496,3.387,3.105,11.01,3.318,4.951,63.336,9.522,9.308,164.702,12.834,-0.009,0.054,1.955,1.599,4.936,2.222,5.476,61.526,-2.683,-0.388,106.397,10.315,-2.919,10.618,-0.999,0.468,83.64,9.145,-2.485,5.882,7.679,1.393,179.067,13.382,0.271,-1.096,1.493,1.095,2.56,1.6,2.283,7.27,Drammensgranite,False,6.0
1179,gran_west,8012.0,8013.0,17.766,23.303,486.095,22.048,-0.45,-0.507,5.798,4.74,28.457,5.334,2.13,7.736,8.415,9.306,91.18,9.549,-0.067,-0.369,2.264,1.79,4.836,2.199,2.653,13.645,-30.275,-29.75,169.786,13.03,0.407,1.803,-3.672,-0.165,79.884,8.938,-2.407,4.44,10.659,9.959,76.188,8.729,-0.288,-0.111,1.435,0.52,4.65,2.156,2.367,6.116,Elnes_lime_shale,False,1.0
4459,soegne_west,8683.0,8689.0,0.076,1.847,359.72,18.966,-1.581,4.738,5.723,4.951,14.357,3.789,1.955,8.307,-2.237,-1.567,231.959,15.23,0.159,-0.791,2.5,1.938,4.012,2.003,2.118,7.106,0.068,1.112,65.988,8.123,-2.912,11.051,2.082,0.344,26.643,5.162,-0.96,5.151,1.673,3.401,106.633,10.326,-1.1,2.11,3.718,1.083,23.206,4.817,1.537,1.487,Granittic_gneiss,True,6.0
788,gran_east,8613.0,8614.0,9.747,13.071,417.086,20.423,-0.814,0.533,7.633,6.563,29.83,5.462,1.082,1.566,4.807,2.933,103.505,10.174,0.949,1.241,3.902,3.307,8.301,2.881,1.151,1.937,-29.079,-27.67,91.931,9.588,0.936,5.327,-1.723,-0.06,28.805,5.367,-3.601,13.792,14.649,11.884,158.901,12.606,0.434,-0.553,1.155,0.55,2.861,1.691,3.078,12.501,Huk_limestone,False,1.0
3190,mjaavann_east,993.0,998.0,31.187,34.125,401.399,20.035,-2.986,12.052,6.342,5.292,24.621,4.962,1.524,3.571,11.129,10.589,120.836,10.993,0.224,0.241,3.967,2.711,14.982,3.871,2.316,8.225,15.856,18.775,114.28,10.69,-3.305,22.768,-4.072,-2.769,36.416,6.035,-3.976,15.472,-1.583,-1.541,120.357,10.971,0.243,0.211,5.314,4.296,19.193,4.381,1.17,2.177,Granittic_gneiss,True,5.0
2373,drammen,58405.0,58411.0,-6.683,-4.469,327.99,18.11,-0.573,1.822,4.011,3.439,13.906,3.729,3.575,28.808,-4.613,-5.4,389.343,19.732,0.322,-0.404,2.6,1.896,7.028,2.651,2.37,8.261,-4.197,-0.388,87.693,9.364,-3.408,13.309,-2.602,-0.305,55.261,7.434,-3.19,10.101,7.455,8.922,88.387,9.401,-0.205,0.427,1.616,0.637,6.561,2.561,2.705,7.336,Drammensgranite,False,6.0
4497,soegne_west,8911.0,8917.0,-18.568,-16.799,254.643,15.958,-1.102,2.742,4.697,4.065,10.075,3.174,1.683,5.095,0.348,-1.742,108.614,10.422,1.209,2.316,2.671,1.997,4.975,2.231,2.106,6.788,-8.391,-6.375,64.063,8.004,-2.066,9.691,2.079,0.344,29.445,5.426,-1.264,5.699,-12.519,-11.371,101.575,10.078,-0.42,0.45,4.176,1.809,18.967,4.355,0.939,-0.197,Amphibolittic_gneiss,True,6.0
2711,brulihei_east,2071.0,2077.0,2.016,2.544,469.384,21.665,-0.183,0.067,6.184,4.794,27.522,5.246,1.564,3.059,4.426,2.842,86.419,9.296,1.004,1.383,2.297,1.627,5.794,2.407,3.256,16.573,-4.862,-1.563,109.663,10.472,-3.74,13.236,-1.41,-0.277,31.528,5.615,-5.097,25.612,4.262,2.894,51.846,7.2,0.076,0.807,3.124,1.255,14.493,3.807,1.566,1.471,Granittic_gneiss,True,6.0
541,gran_east,8171.0,8172.0,15.797,19.252,315.129,17.752,-1.18,2.309,6.777,5.79,25.53,5.053,1.131,1.468,8.787,9.837,88.604,9.413,-0.528,0.603,3.225,2.482,8.685,2.947,2.978,18.352,-35.481,-34.79,92.379,9.611,0.136,3.205,-4.55,-0.275,75.105,8.666,-1.956,2.844,14.202,11.833,59.979,7.745,0.634,0.129,0.899,0.596,1.195,1.093,3.063,10.44,Huk_limestone,False,1.0
